aud,review,date,rate,neg,neu,pos,compound,,,,count,,
Fred J,"Great first film with Tom Holland playing Spider-Man, Very excited for more of this movies he plays Spider-Man very well.",13-Mar-22,3,0,0.536,0.464,0.8998,,,,,,
Richard S,A little emotional to see Tony Stark (Robert Downey Jr) in that movie and to see him dead in Far From Home. I cannot wait to see No Way Home!,13-Mar-22,3,0.205,0.755,0.039,-0.7569,,,,,,
Beau B,"Tom Holland was a spectacular choice for the MCU Spider-Man, and I loved it. He really brought out a good Peter Parker, and Zendaya is an amazing MJ. Michael Keaton was also Vulture in this film. Geez, how many bird-related films with Michael Keaton?! But this movie is really good, and I recommend it for any Spider-Man or Marvel fan.",12-Mar-22,3,0.029,0.709,0.262,0.9439,,,,,,
Samuel L,"Spiderman was completely incompetent compared to the previous films, the narrative was too tied in to the Avengers franchise, and the villain was pathetic. Moreover, the plot was predictable and none of the action stood out. Some characters lacked believability, and the constant comedic dialogue was unnatural. The pacing was dragged out, the acting was rather average, the cinematography and visual effects were fine, the sets were decent but costumes not so much, and the soundtrack was the usual for a superhero movie. Overall, watchable but a worse and needless rehashing of the previous Spiderman films.",11-Mar-22,3,0.118,0.85,0.032,-0.8337,,,,,,
Parth B,A really enjoyable movie that has Tom Holland shining in this movie. The ending of this movie is satisfying and it is so funny. It is an amazing spider-man movie.,11-Mar-22,3,0,0.645,0.355,0.9292,,,,,,
Blair B,very fun movie to watch,5-Mar-22,3,0,0.527,0.473,0.5563,,,,,,
Shay K,A- ~ Not the greatest Spider-Man movie but still very fun and does a great job of convincing the audience that Tom Holland can pull this role off. The twist was one of the best I've seen in a Marvel movie.,3-Mar-22,3,0.04,0.599,0.361,0.967,,,,,,
Ryan D,Good for kids only. It's all because of Tony Stark.,3-Mar-22,5,0,0.756,0.244,0.4404,,,,,,
Noah T,This was a good start for Holland's spider-man but his lackluster performance drags the movie down along with vulture's bad characterisation.,28-Feb-22,5,0.264,0.66,0.076,-0.705,,,,,,
Samuel,It's a great movie and it has a nice theme to it and it's a new origin story that we haven't really seen especially on screen and it's a top 10 mcu movie,26-Feb-22,5,0,0.749,0.251,0.8271,,,,,,
Johnson J,Favorite marvel movie to date. faka is mayyjah aktion. (tom holland is the best spiderman),25-Feb-22,5,0,0.644,0.356,0.802,,,,,,
Gage W,"A nice, fresh, fun, and silly MCU movie that exceeded my expectations with teenage drama and humor, and it managed to make relatively small-scale conflict so emotional and impactful.",24-Feb-22,5,0.062,0.567,0.371,0.8561,,,,,,
Michael S,Very enjoyable superhero movie - very reminiscent of 1980's high school coming of age films and the very best of superhero films. Great casting and Tom Holland is superb as Peter Parker/Spider-Man. I'm not the biggest sci-fi/Marvel fan but I definitely enjoyed this.,20-Feb-22,5,0,0.634,0.366,0.9558,,,,,,
Kim G,A great introduction to Tom holland's run long as the web-slinger,18-Feb-22,5,0,0.687,0.313,0.6249,,,,,,
Hector Z,Its spiderman/high school vide is pretty slick but story and emotion wise it has something to be desired.,17-Feb-22,5,0,0.628,0.372,0.836,,,,,,
Saulo D,"Um ótimo início pra uma jornada de um novo Homem-Aranha, totalmente condizente com o universo cinematográfico da Marvel onde super heróis são como celebridades",14-Feb-22,3.5,0,0.849,0.151,0.5994,,,,,,
Adhyan d,"An entertaining film with a great villain and a new, different and creative take on Spider-Man's character. Tom Holland is good enough in the role. But the real standout here is an extended cameo by Robert Downey Jr. But the main issue here is that it doesn't feel like a spider man film and its more like an MCU solo story rapped into a spider man skin.",7-Feb-22,3.5,0.106,0.777,0.117,-0.0593,,,,,,
igor p,"it's good, but it doesn't go much further than that, for the beginning of the first movie it's cool but I would like it to be more grandiose, the tone delivers a dignified performance and gives a lot of an image of a ""spider child""",5-Feb-22,3.5,0,0.748,0.252,0.9091,,,,,,
Allie F,"Tbh, I just don't find Tom Holland the best or most appealing Spider-Man. He did a pretty good job, but this movie just didn't quite immerse me as much as some of the other MCU movies.",4-Feb-22,3.5,0,0.823,0.177,0.6858,,,,,,
Caco C,Unforgettable great start to the trilogy The Vulture was amazing and knowing that he is going to be the leader of the Sinister 6 one day man I am pumped and Spider-Man next to Iron Man OH MY GOD,30-Jan-22,3.5,0.139,0.645,0.216,0.5904,,,,,,
Alexander C,Pretty great movie!!! It keeps you interested all the time!!! It is just amazing!!!,28-Jan-22,3.5,0,0.401,0.599,0.9429,,,,,,
Maheep S,A great reboot of a great character,26-Jan-22,3.5,0,0.268,0.732,0.8481,,,,,,
Darius K,"The good stuff - This movie bypassed the whole origin story of how Parker became Spider-Man. We've already seen that several times with Toby Mcguire and Garfield as well as the several recounts in the comic books. We get it. Bitten by a radioactive spider - summed up in a one line that Parker tells Ned in the movie. So lets look at the actors from a positive - This new dude is definitely convincing as a newbee Spidey. And then we have Michael Keaton as the ultimate villain in the movie. The vulture - yes, Keaton is now old enough to portray Toombs as the Vulture. Of course we all remember him as Bruce Wayne/ Batman in the original and awesome Tim Burton Batman movies, as well as Jack Frost in the Christmas favorite. Keaton brings a depth to the character - a down to earth business owner struggling to make ends meet who gains a city contract to clean up the mess caused during the first Avengers movie. Only, he gets ousted by Tony Stark AFTER his signed contract. So what would make reality end the movie there and then? The fact that he could sue the city, the federal government and Stark for the cost of the contract and much more. Only the writers ignore normal legal protocol and decide to suddenly make Keaton into the supervillain called Vulture. Okay, so far, apart from that break in reality, I'm fine with it, since Keaton is a great actor and continues to perform in a formidable way as Adrian Toombs/The Vulture. There is even a somewhat altruistic reasoning behind his motivation - he has a family and he needs to provide for the men he hired. Action in the movie: the sequences are great - it would have been a fantastic film if it were just the action scenes and the story minus the human part. And the 3D was definitely worth it. Maybe it WAS converted post-filming, but who cares - the scenes still add that additional feel to the viewer. Now the minuses - Disney and its diversity! I'm not for diversity in a movie but when it gets ridiculous, that's when I draw the line. Why ridiculous - starting from the opening scene of Parker entering his school, there seems to be more Asian and Black people than white guys in this mediocre NY High School. Has Peter Parker got a scholarship for high school in an institutional reserved for minorities, if not, then, are white straight guys the minority? Who knows what the director was thinking? Now we are introduced to Liz Allen. Now to comic aficionados, she is a blonde white girl who Parker had a crush on before he became Spider-Man, and to whom he stayed friends with throughout college. He never ended up with the girl, since his best friend Harry Osborn had the hots for her and ultimately married her. In fact Harry and Liz had a kid together named ""Normie"". Of course, with diversity taking a stand, she is now a black chick and to make diversity even stronger, she is a product of a white dad and a black mom. Then we see Michelle, who has a resting bitch face/similar attitude and is of Mulatto ethnicity. No problems there, just another diverse character who seems to pop up in Parker's life frequently. Of course we find out that she is now supposed to be the new MJ. What happened to the gorgeous red-head? Based on a lot of Hollywood remakes/reboots/sequels, they hate red-heads, I think. I mean, just take a look at our favorite mermaid, Ariel. Now we see Parker's best friend, Ned Leeds. The actor chosen was an Asian-Hawaiian, and a fat guy to boot. Ned Leeds in the comic books was an ace reporter until he was not, then got seduced by the dark side and became the Hobgoblin. And he was Betty Brant's husband. Betty Brant, as the young white blonde TV school reporter in the movie (who was actually a sexy brunette). Okay - so we have a race swapped MJ, Ned Leeds and Liz Allen. Think it stopped there - no! Flash Thompson is the muscular and masculine white jock who constantly bullies Parker (partly owning to the difference in their physiques and partly that Parker is a geek while Flash is all brawn). So this muscular white bully is changed into a weedy little Guatemalan who bullies through wisecracks rather than brawn and who may be as geeky as Parker since he too is on the Academic Decathlon team. And mind you, Tom Holland definitely has the brawn when compared to the physique of Flash actor Tony Revolori. So lets forget the people and think about the suit: - the first suit that Peter wore seemed reminiscent of the Scarlet Spider who was not a Parker clone but the real deal in the end. That was cool. However, the Stark suit makes Spider-man more into an Iron-Man - a suit with AI and tech that the actual Spider-Man never had. What's more is that Tom Holland seems to rely more on the tech than his actual abilities. In the comics and in the original films, Parker tested out his abilities and slowly honed them through time. Here, the boy was merely following the direction of the suit. And the scene on the Manhattan ferry where he spider-webbed the ferry together seemed to closely resemble the original movie where Toby stopped the train and the public cheered for him. The McGuire scene was heartfelt but no scene in this movie had that level of feeling. The Villains - As I said before, Michael Keaton brought a certain credibility to the movie and his acting was flawless. But with the diversity kick, you have him married to a black woman and lo and behold - Liz Allen the blonde white girl is actual his black daughter. That scene tried to bring some feeling into the film but it failed miserably. In fact there it could have been saved if both parties didn't know who they were dealing with or if only Keaton knew the truth. Then there's the Shocker - comic book fans will know him to be one of Spidey's longtime major villains, although never quite in the league of the Green Goblin or Doc Ock. Yet, while the writers had an opportunity to key him into the story as a major player, he was discarded - twice - first the white guy was not good enough for even Keaton and was killed off, then the black dude played the part which was easily forgetful - outsmarted by a fat kid with no experience wielding a web-shooter. Now some underlying thought - Peter Parker in the comic books had a father figure to look up to - that was his uncle Ben, who taught him the proper values in life. When Peter, drunk with the power of his newly found abilities let a crook escape, which led to the ultimate death of Uncle Ben, realised the enormity of his mistake, he started to take his responsibility a bit more seriously. In this movie, there was none of that. Parker keeps playing around with no regard to the consequences. One may be fooled that the scene in the bodega may have snapped him to his senses, but we saw that neither the owner nor his cat were hurt. So he hand nothing on his conscience. And the only man he has to look up to is Tony Stark, who funnily enough is doing his best as trying to teach responsibility to a kid. Then we have a young, hot and sexy Aunt May. I could perhaps live with that, except that of course even the actress Marissa Tomei regrets her decision after signing on the dotted line when she realises who Aunt May is really supposed to be. Mind you, Aunt May is actually Parker's motivation for doing what he does in the comic books - he wants to live up to Uncle Ben's reputation, and he wants to keep her safe. Now there is one other thing - coming from the leftist bracket. Our Mulatto MJ makes a comment that the Washington Monument was built by slaves and a black security guard agrees with her over the learned teacher of Parker's class. Yes - Slaves were emancipated in 1862 and slavery was still legal in district of Columbia in 1848 when construction began. The monument was built with high quality stone and used stonemasons for its carving - a specialized craft that slaves were not familiar with. The stones were hoisted by steam engines which again were in the realm of skilled engineers and not education afforded to by slaves. That same went for the cast iron staircase. However, if we go down the lines to the lowest common denominator, then yes, perhaps slaves were working in the quarry. But then the same can be said of any thing today - the lowest common denominator are the ones producing the raw materials and they dont get paid as much as those on the higher rungs - eg. the poor laborer pulping the wood for paper isn't getting the same recognition as the author of the novel whose publisher uses the same paper for its printing. The miners who help in the manufacture of the tin cans do not get the same recognition of the artist who uses those paint tins while painting. The fact that slaves may have worked in the quarry is merely a reflection of the times. All in all, the movie is good if you ignore the drama and the concentrate on the action. And of course if you're not a reader of the comics, then the movie is a treat.",26-Jan-22,3.5,0.083,0.796,0.121,0.996,,,,,,
Random D,"While Tom Holland is a great actor and solid cast, the bright and bubbly vibe of this movie doesn't really hide the slight mischaracterisation of Spider-Man in this very MCU prominent world. Even the villian cares more about Iron Man than Spidey, like c'mon. The love interest is quite useless and theres absolutely no chemistry. This movie almost would have worked without one. Fun movie to watch but doesn't feel like a Spider-Man movie as much as it should. Ned is a legend though.",25-Jan-22,3.5,0.06,0.722,0.218,0.8982,,,,,,
Evan A,Its a marvel 'movie'.,1-Apr-22,4.5,0,1,0,0,,,,,,
Henry S,"It's not horrible, but it needs some actual Spider-Man, instead of iron man and son. The plot revolves completely around tony stark, and spider man is a whiny brat who needs adults to do everything for him. This film needs work. A lot of it.",21-Jan-22,4,0,0.956,0.044,0.2323,,,,,,
Charlie W,Great new look at the Spiderman series,18-Jan-22,4,0,0.594,0.406,0.6249,,,,,,
Natasha C,"I'm a bit late getting into these but I'm so glad I gave them the chance! Brilliant film, perfectly cast",16-Jan-22,4,0,0.423,0.577,0.9686,,,,,,
Alexander H,I love Tom Holland’s spider-man. This was a great introduction story for Peter Parker in the MCU.,15-Jan-22,4,0,0.61,0.39,0.8519,,,,,,
RZ K,"This is one of my favorite Spider-Man films. Tom Holland plays the role so well and the movie just moves so smoothly. I have seen this movie a million times, and I will never stop loving it.",15-Jan-22,4,0.075,0.694,0.231,0.6687,,,,,,
Rick W,"I liked this movie. It was a bit different from the other renditions of Spider-Man, because instead of being an origin story he was a previously established superhero. I also like how a certain og character played a role in this movie. I won't spoil.",14-Jan-22,4,0,0.776,0.224,0.8316,,,,,,
Chris H,"Tom Holland is having so much fun and brings the audience along for the same. Michael Keaton sweetens the deal as the ""Amazing Vulture""",12-Jan-22,3,0.096,0.669,0.235,0.6573,,,,,,
pedro i,Rewatched all spider-man movies. Just have to say Tom Hollands come along way and no way home is by far the top 5 mcu movie in my opinion. My dad who's loved Spider-Man his entire life was just in awe while watching them all back to back.,12-Jan-22,3,0.043,0.845,0.112,0.5423,,,,,,
J H,"A fine film in this genre that in general isn't really my cup of tea. Tom Holland brings a lot of enthusiasm, excitement and youthful energy into his role as Spider-Man making the film fun and entertaining to watch. He really carries the film. Watched on Jan 11, 2022.",11-Jan-22,3,0,0.684,0.316,0.9477,,,,,,
Max A,"I didn't apprecitate this movie enough the first couple of times I saw it but now I gotta say, what a masterpiece! Here we don't see a Peter Parker working for Oscorp or trying to make end meets by selling photos of himself to the Daily Bugle, no, here Peter Parker is a teenager like any other just trying to get good grades at school while struggling with the fact that he possesses superpowers (as if the teenage years weren't hard enough!). On the other hand we have The Vulture, the total opposite of Peter Parker, a grown man trying to provide for his family no matter the cost, at least that's what he tells to himself. The Vulture wasn't messing around, he threatened Peter with a gun, he tried to kill him by letting a building fall over him, and he brutally beat him (with the intend to kill him) in the final battle, remember this is a grown man trying to kill a kid in multiple occassions, that's way darker than the average Marvel movie. Writting alone makes of this movie a great among the greats, but the acting take it to a whole other level, special mention to Tom Holland and Michael Keaton, but the rest of the cast was splendid too. This is a movie worth watching and rewatching multiple times, nothing more to say.",11-Jan-22,3,0.197,0.675,0.128,-0.974,,,,,,
Logan S,"Tom Holland's Spiderman is super cringey and has no concept of ""with great power comes great responsibility"" Typical Disney crap.",9-Jan-22,3,0.15,0.47,0.379,0.8519,,,,,,
Steven C,"Solid film, quite enjoyable. I will say though, they drove the point across hard about Peter Parker being the overly excited, reckless teen. It just got annoying after the first couple of times they demonstrated it. Despite this, definitely still a good film.",9-Jan-22,3,0.179,0.629,0.192,0.1829,,,,,,
Andrew D,A really good movie to start off the series.,6-Jan-22,3,0,0.687,0.313,0.4927,,,,,,
Joseph C,"This film was just...OK. Nothing really to brag about. It had a lot of interesting moments and some comedy, which helped me to move through some of the more boring moments. I really didn't like that Spider-Man was given a high-tech suit. It takes away from Spider-Man's humanity and stifles the connection the character has to the average, every-day individual. That is his most redeeming quality: the fact that he's not perfect. Their attempt to make him more of a ""super"" hero takes away from that. Michael Keaton was great as always, though his character really wasn't the Vulture.",3-Jan-22,3,0.072,0.785,0.143,0.8372,,,,,,
Penny S,"Even if initially refreshing for a Spiderman that finally feels like a kid, Homecoming is far less interesting than its sequels and previous incarnations, despite all the attempts to make the series more relatable and relevant.",2-Jan-22,3.5,0,0.867,0.133,0.6003,,,,,,
Caleb K,Very enjoyable movie. All the actors are amazing.,2-Jan-22,3.5,0,0.462,0.538,0.7902,,,,,,
Sharlene G,"Honestly, I think one star is generous. This film was just a giant meh from me. Boring and incredibly predictable. I do not understand why this was so hyped - the only positive I can say is that Holland is a good fit for the character as he's represented in the comics, but the story itself really had little going for it. I was truthfully glad when this was finished.",2-Jan-22,3.5,0.037,0.722,0.241,0.9349,,,,,,
Girbust G,It was amazing V,1-Jan-22,3.5,0,0.345,0.655,0.5859,,,,,,
Jacob D,"I LOVED THIS MOVIE! The plot, the characters, everything. Absolute 10/10",29-Dec-21,3.5,0,0.646,0.354,0.7118,,,,,,
Preston P,"Tom Holland is a fun Spider-Man for an alternate timeline, but he’s not Toby good.",29-Dec-21,3.5,0.18,0.695,0.125,-0.2404,,,,,,
Erik D,"Such a solid Re entry for a new Spider Man and Tom Holland knocks it out the park for a Peter Parker for me Tobey Maguire is always my Parker and I always liked Andrew Garfield’s portrayal his movies weren’t written well at all, Michael Keaton really carry’s this show with his very relatable reasons to be a villain in this very happy go comedy and had allot of heart and was so awesome seeing Robert Downey Jr’s cameo. An awesome story great characters and Zendaya really stands out throughout the movie",28-Dec-21,3.5,0.033,0.713,0.254,0.9757,,,,,,
Steven S,A very middle of the road movie with low stakes and pretty much no gravitas. So many potent scenes from the comics wasted on a plot that can only be summarized as Spider-Man desperately trying to join the superhero club. It's an okay movie. Maybe I would have enjoyed it more as a series of 20 minute episodes instead of seeing it in theaters. Feels more like a Disney channel special than a proper film. It's decent. It'll keep your kids occupied.,26-Dec-21,3.5,0.11,0.716,0.175,0.7178,,,,,,
Lucas T,This movie is a good start for Tom Holland's spider-man.I enjoyed it.,24-Dec-21,2,0,0.592,0.408,0.7351,,,,,,
Titus B,"I know some of the issues people have Like Peter being Teched out By Tony, But It makes sense? This is a world with Stark Tech, and If Tony recruited him, Obviously he would get a teched out suit! I personally Love the suit and this movie has a great story and Villain! I wish some of the action scenes were a little longer, Especially the one with Vulture and Peter on top of the Truck at night! But definitely a great movie, My 4th Favorite Spider-Man behind NWH, FFH, S2 but it's not that far off from those movies! I do have little Nit picks But I won't get into those",23-Dec-21,2,0.066,0.685,0.248,0.9786,,,,,,
Philip H,"Great set of actors involved and has it's good moments, sure. I miss some origin story, extra information about how he became Spider-man maybe? Tom Holland is a good pick for Spider-man and he plays it very well, but where is the struggle? Only struggle i see is that he misses Iron-man and his high-tech suit.. I might be becoming too old? but i just don't like this high-tech Spider-man suit, seems too overpowered to me. Also what i really dislike is the bad writing : when Peter meets the bad guy in real life, like there is nothing more subtle he could do to show he knows who the bad guy is. Just seems really odd to me how he reacts to this. Also sometimes i really get the feeling this is written for 12 year olds and younger (younger crowds sell more product). The story is somewhat alternative, no MJ, no uncle Ben, no Harry Osborn and that's okay but it creates a complete different Peter Parker since it where the closest people to him creating the story of Spider-man and who he is. Now the character is written somewhat hollow and the movie is depending more on Tom Hollands likeable and funny character and lot's of CGI.",23-Dec-21,2,0.178,0.705,0.117,-0.9581,,,,,,
Joshua F,"This movie gives a solid introduction to Spider-Man in the MCU. Although his story isn't told from the traditional aspect, it's still a fresh start.",23-Dec-21,2,0,0.843,0.157,0.4404,,,,,,
Nathan D,"Spider-Man: Homecoming is a phenomenal film with a realistic aspect that is hard to find in other superhero movies. The film consists of a total of six screenwriters. I guess that is the lucky number because this script is immaculate. Everything fits so nicely, and the story progresses at a reasonable pace. Plus, the characters have perfectly written storylines. There is enough information to suffice proper character arcs. Yet, it leaves plot details to get explored in the third act. The realism factor in this MCU installment just further enhances the plot points. Yes, the near destruction of the Washington Monument is not realistic, but it is far better than the destruction of New York. When I say realism, it is all about the characters. Peter Parker seems like any other fifteen-year-old boy who dreams of becoming a superhero but still has his defining traits. Peter has a quirky personality and is on the school decathlon team, yet he wants to make sure that he saves the citizens of Queens. Liz is a genuine love interest. She is not overly popular or snobby but still has those popular characteristics that make her stand out from other female love interests in other films. Michelle Jones, or MJ as some of her ""friends"" call her, is made so differently than various incarnations. Yet, it works so well because clearly, MJ wants to fit in more. Supporting these stellar character arcs are some powerful and fun actors. Tom Holland takes charge of the screen in a powerful yet lighthearted nature. His high-pitched voice and fitting facial expressions bring life to the character of Peter Parker. Holland takes the characteristics from the script and applies them in his flawless performance. While I have seen him in his other films, Michael Keaton is hard to separate from Vulture. An element of his performance that takes me out of the story at times. However, Keaton has one scene that works so well where he, Holland, and Laura Harrier all make for one withstanding sequence. Harrier is fantastic here, with her line delivery matching Holland's energy. Zendaya produces a scene-stealer performance as MJ due to her one-liners being hilarious. Jacob Batalon is great as Ned and makes for a worthy counterpart to Holland. Marisa Tomei delivers an amusing performance as Aunt May. Tomei captures the essence of her character in a compelling yet enthusiastic way. Jon Favreau is the best he has ever been as Happy Hogan with hysterical line delivery. Lastly, Robert Downey Jr. as Tony Stark. Yes, his role is minimal here, but Downey knows how to make an impact. The technical elements in Spider-Man: Homecoming stop the film from being flawless. The visual effects are rough as the computer-generated suit is not the best-looking. Plus, it is obvious when a green screen is present. The cinematography is also a slight letdown as the shots are not very innovative and sometimes give away what might be heading into the scene. The score from Michael Giacchino, on the other hand, is fantastic. Many tracks are lively, and the cohesiveness throughout each track makes the film feel even more complete. Spider-Man: Homecoming does not disappoint with its flawless script and remarkable cast. Tom Holland leads this film with great force, and he shows that he can be a lead to any movie. Yes, the visual effects and cinematography can be distracting at times. However, Spider-Man makes a splashy solo film debut in the Marvel Cinematic Universe. Read more reviews like at postcreditreviews.com",23-Dec-21,2,0.048,0.717,0.235,0.9993,,,,,,
Enrico A,"A good origin movie, but not quite good as Raimi's Spider-Man origin movie. The main problem is the lack of seriousness and drama and the excess of humour in it. It's a good movie, worth the time.",22-Dec-21,2,0.153,0.53,0.317,0.8537,,,,,,
Subhaan A,"this movie is a good movie and personally, I like Tom's version of spiderman. what I liked about this movie is that it's fun, funny, Tom's acting was great, ned was great, it actually felt like they were in high school, I liked how they acted their age, the vultures was a great villain, I like how peter didn't get his love, I love the suits, I love how you see all the little stuff that spider man dose, I like his growth in this movie and I like the final bit where he gets his stark suit taken away. what I didn't like is that there was too much iron man, I wish it was slightly more serious and sometimes Tom's acting was a little off.",22-Dec-21,2,0.111,0.587,0.302,0.9817,,,,,,
Robb D,"This third iteration of the web-slinger feels more energetic and fuller of potential than the last reboot. Spider-Man feels young, naive and vulnerable, as he should be. He is obviously aided by some Avengers level assistance, but that's only until the ""training wheels"" come off. Very enjoyable and lays the groundwork for a great franchise. 8/10",21-Dec-21,2,0.046,0.769,0.185,0.9008,,,,,,
Joaquin,One Of My Personal Favorite Spidey Movies!,21-Dec-21,2,0,0.646,0.354,0.5093,,,,,,
Rafael R,"A film too silly, it is entertaining and gives an acceptable debut to Spiderman in the MCU but does not represent anything what the hero should be.",20-Dec-21,2,0,0.697,0.303,0.8201,,,,,,
Garrett B,Spider-Man: Homecoming is a thrilling superhero action feature with a talented cast and a compelling plot.,19-Dec-21,5,0,0.546,0.454,0.8074,,,,,,
Barack B,Solid movie had a couple flaws but still overall pretty good.,19-Dec-21,5,0,0.426,0.574,0.8573,,,,,,
Jeff B,It took a bit for it to get enjoyable but it was overall entertaining but I didn't really get where they were going with it and it partially felt like a sequel rather than an introduction. Rating B,18-Dec-21,5,0,0.774,0.226,0.8422,,,,,,
Mattias L,The movie has its moments for sure. Tom Hollad & Jacob Batalon are great in this. Zendayas character is pretty useless & cringe. Fight scenes are alright but nothing spectacular.,18-Dec-21,5,0.11,0.657,0.233,0.4767,,,,,,
Aidan I,"Tom Holland nails the new advanced Spider-Man and the movie is good. The acting is very good except for Liv in my opinion. The plot sets a good pace and is very well structured. There are some great stills in this and the ending is very funny. This movie is not bad whatsoever, but I felt Tom's Spider-Man was kind of made to be an Iron Man Jr.",18-Dec-21,5,0,0.788,0.212,0.8914,,,,,,
Lilli R,"It was amazing, definitely need a tissue box. And maybe a pillow to scream in! 100% recommend",18-Dec-21,5,0.117,0.478,0.404,0.7644,,,,,,
Christian G,Em seu primeiro filme Tom Holland destroi com um filme cheio de coração e emoção no geral FILMAÇO!!!,17-Dec-21,5,0.161,0.839,0,-0.4724,,,,,,
Henk E,"After introducing Spider-man to the Marvel Cinematic Universe in Civil War, the filmmaker decide to take a simpler approach with the web-shooting hero's story... with great results. Tom Holland follows in the footsteps of Toby Maguire and Andrew Garfield, two terrific rendition of the role, and make it his own. It's a young, fun and relatable portrayal of Peter Parker. And having our friendly neighbourhood Spider-man fight an ordinary, run-of-the-mill crook to prove himself to Ironman is pure genius. It goes with everything that is Spider-man. Good job to the filmmakers for taking a character that has been done to death and making it fresh. Can't wait to see where they take him next!",17-Dec-21,5,0.079,0.775,0.146,0.8313,,,,,,
,The first movie of tom Hollands Spiderman it was great I can say i believe they nailed the Character of Spiderman in their own way.. Even tho i like the Raimi version more Its Actually not a bad Spiderman movie It had its ups and downs For sure but The Fans of Marvel Will sure love this spiderman...,16-Dec-21,5,0,0.743,0.257,0.9395,,,,,,
slayde b,Really good Spider-Man movie and very rewatchable.,16-Dec-21,5,0,0.653,0.347,0.4927,,,,,,
Bradley W,"While past Spider-Man movies have been good, they always had some point where they did not meet the comic books and personality of Peter Parker and Spider-Man, but Tom Holland brings a perfect performance for both roles. Also getting to see a Spider-Man that isn't ready to be Spider-Man is a nice change, as the previous movies they jump into the role almost immediately after getting their powers and by the time their first villain shows up they are ready for action. In Spider-Man Homecoming though we don't get an origin story, but a story of a hero trying to find his true place in this universe, and comes to terms with the fact he isn't ready for the big fights, and he is ok with that.",16-Dec-21,5,0.11,0.742,0.148,0.7687,,,,,,
Casiks H,"This film is not my style for Spider-Man but I liked it. Peter Parker needs to suffer more, nothing too bad happens to him and Tony Stark helps him through everything.",15-Dec-21,5,0.113,0.619,0.268,0.7594,,,,,,
MrJurassic Y,This movie presents a flawed Spider man character that has fallen victim to a Marvel studios makeover. This Movie lacks Responsibility.,15-Dec-21,5,0.213,0.787,0,-0.5574,,,,,,
Pedro G,"Muy buena película, un comienzo muy bueno que se siente diferente y fresco al estar en el universo de Marvel. Lo mejor de la película es que es super divertida, en ningún momento aburre y siempre entretiene con su historia. La historia esta buena, me gusta que se hayan salteado el origen tan conocido de Spider-man para ya poder contarnos alguna aventura del personaje. El cast esta regular, Tom Holland me parece una excelente elección para Peter Parker/Spider-man, es nerd, ansioso, joven, etc. me gusta mucho su actuación en este papel, realmente esta muy bien. Después esta su mejor amigo Ned, interpretado por Jacob Batalon, el cual me parece un buen personaje que sirve como alivio cómico y que es de lo mejor de la cinta. El interés romántico de Peter es Liz, interpretada por Laura Harrier, el cual es un personaje que a pesar de que no se lo desarrolla mucho ni se indaga en su relacion con Peter, cumple. La tía de Peter, interpretada por Marisa Tomei, una elección muy mala porque es obvio que una actriz tan joven para este papel no queda, no llega a ser tan importante para Peter como otras interpretaciones del personaje y no me convence. Luego esta el grupo de estudiantes de la escuela, entre ellos Flash Thompson, Betty Brant y MJ, entre otros, interpretados por Tony Revolori, Angourie Rice y Zendaya, otra muy mala elección de cast para estos personajes, sin parecerse para nada a los comics y siendo muy tontos como en el caso de Flash. El principal villano de la historia es Adrian Toomes/Buitre, interpretado por Michael Keaton, quien hace un excelente trabajo con este villano, siendo uno de mis favoritos de los live action de Spider-man, ya que su historia es muy interesante y el vinculo que tiene con Peter esta muy bien construido, sorprendiendo a mitad de la historia y generando una tensión tremenda; además, su diseño me gusto mucho. Por ultimo esta Tony Stark/Iron Man que sale en algunas escenas de la película haciendo el papel del mentor de Peter, el cual no me gusto mucho ya que prefería una historia del personaje sin depender de él, pero su inclusión se entiende. El humor de la película me parece que esta bastante bien y es uno de los puntos mas divertidos del film. El traje de Spider-man no me convence del todo ya que el CGI utilizado creo que no le queda tan bien. Por otro lado, las escenas de acción están muy buenas y con unos efectos especiales muy bien logrados. El Spider-man de esta película me parece muy bueno, siendo muy chistoso en sus enfrentamientos, pero poniéndose serio en algunos momentos también. En conclusión, una buena película del personaje que esta por delante de algunas de las otras hechas y que se siente como un fresco y divertido comienzo para la saga establecida en el UCM. Muy recomendada.",15-Dec-21,5,0.051,0.937,0.012,-0.9413,,,,,,
Jess P,"La primera 1 hora con 30 min se siente como una película de un Iron Man junior, vemos a un Spider-Man que depende enteramente de la tecnología, sin embargo a partir de ahí en adelante es donde sientes que de verdad es una película de Spider-Man, sin embargo, lo mejor de la película es el Buitre, un villano que pudo ser un personaje ridículo, pero que termino siendo uno de los mejores villanos de Spider-Man en el cine, sino el mejor, un diseño magnifico que le aporta cierto grado de terror e imponencia.",15-Dec-21,5,0.108,0.864,0.028,-0.8316,,,,,,
Arturo C,"A new spiderman with an excellent story, Michael Keaton is an excellent villain as the Vulture, definitely an incredible reinvention of the character.",14-Dec-21,5,0.196,0.504,0.3,0.5423,,,,,,
Rex P,Such a fresh take from the previous spider man movies but I love it its amazing the villains amazing and all of the new characters introduced are a welcome edition to the mcu,14-Dec-21,3,0.117,0.462,0.421,0.9497,,,,,,
